month,ChickenPrice($/kg),C-FeedPrice($/kg),PigPrice($/kg),P-FeedPrice($/kg)
January,52.09 ,17.93 ,71.93 ,14.49 
February,51.24 ,17.63 ,70.35 ,14.49 
March,51.37 ,17.74 ,67.90 ,14.53 
April,50.65 ,17.66 ,67.71 ,14.37 
May,50.73 ,17.72 ,71.30 ,14.42 
June,50.54 ,17.69 ,73.18 ,14.40 
July,49.44 ,17.69 ,76.00 ,14.40 
August,48.55 ,17.66 ,72.44 ,14.29 
September,47.45 ,17.56 ,70.83 ,14.15 
October,45.69 ,17.30 ,69.32 ,13.93 
November,45.09 ,17.41 ,71.32 ,14.06 
December,45.28 ,17.66 ,75.94 ,24.23 